State	Year	Miles (millions)	Fatalities
Alabama	2015	67257	850
Alaska	2015	5045	65
Arizona	2015	65044	897
Arkansas	2015	34897	550
California	2015	335538	3387
Colorado	2015	50437	547
Connecticut	2015	31591	270
Delaware	2015	9930	131
District of Columbia	2015	3557	23
Florida	2015	206982	2938
Georgia	2015	118106	1432
Hawaii	2015	10300	93
Idaho	2015	16661	216
Illinois	2015	105223	998
Indiana	2015	78818	817
Iowa	2015	33160	320
Kansas	2015	31379	355
Kentucky	2015	48674	761
Louisiana	2015	48180	752
Maine	2015	14629	156
Maryland	2015	57515	520
Massachusetts	2015	59257	344
Michigan	2015	97843	967
Minnesota	2015	57394	411
Mississippi	2015	39890	677
Missouri	2015	71917	870
Montana	2015	12345	224
Nebraska	2015	20100	246
Nevada	2015	25925	326
New Hampshire	2015	13093	114
New Jersey	2015	75393	561
New Mexico	2015	27435	298
New York	2015	127230	1136
North Carolina	2015	111878	1379
North Dakota	2015	10036	131
Ohio	2015	113672	1110
Oklahoma	2015	47713	645
Oregon	2015	35998	446
Pennsylvania	2015	100945	1200
Rhode Island	2015	7832	45
South Carolina	2015	51726	979
South Dakota	2015	9324	134
Tennessee	2015	76670	962
Texas	2015	258122	3582
Utah	2015	29603	278
Vermont	2015	7313	57
Virginia	2015	82624	754
Washington	2015	59652	551
West Virginia	2015	19826	268
Wisconsin	2015	62073	566
Wyoming	2015	9597	145
